iter	Passed	Remaining
399	79051	39525
400	79249	39328
401	79454	39134
402	79664	38942
403	79873	38750
404	80070	38552
405	80257	38349
406	80465	38157
407	80662	37958
408	80860	37761
409	81089	37578
410	81304	37388
411	81508	37193
412	81741	37011
413	81929	36809
414	82145	36619
415	82331	36415
416	82544	36224
417	82750	36030
418	82943	35830
419	83138	35630
420	83324	35427
421	83531	35233
422	83737	35039
423	83951	34847
424	84137	34644
425	84318	34440
426	84497	34234
427	84697	34037
428	84888	33836
429	85101	33644
430	85292	33444
431	85494	33247
432	85681	33045
433	85892	32853
434	86092	32655
435	86286	32456
436	86461	32249
437	86667	32055
438	86874	31860
439	87081	31666
440	87288	31471
441	87475	31269
442	87651	31063
443	87855	30867
444	88053	30670
445	88267	30478
446	88462	30279
447	88668	30083
448	88878	29890
449	89095	29698
450	89305	29504
451	89514	29310
452	89709	29110
453	89903	28911
454	90109	28716
455	90344	28529
456	90537	28330
457	90738	28133
458	90934	27934
459	91123	27733
460	91295	27527
461	91512	27334
462	91729	27142
463	91927	26944
464	92134	26748
465	92318	26546
466	92531	26352
467	92720	26151
468	92913	25952
469	93099	25750
470	93314	25557
471	93487	25352
472	93688	25155
473	93896	24959
474	94086	24759
475	94264	24556
476	94474	24361
477	94655	24158
478	94858	23962
479	95076	23769
480	95291	23575
481	95504	23380
482	95686	23178
483	95898	22984
484	96083	22782
485	96282	22584
486	96479	22386
487	96688	22190
488	96883	21991
489	97094	21796
490	97291	21598
491	97477	21397
492	97693	21203
493	97912	21009
494	98107	20810
495	98317	20614
496	98504	20414
497	98699	20215
498	98887	20015
499	99092	19818
500	99294	19620
501	99499	19424
502	99703	19227
503	99888	19026
504	100087	18828
505	100281	18629
506	100463	18428
507	100665	18230
508	100880	18035
509	101059	17833
510	101292	17641
511	101484	17442
512	101697	17247
513	101901	17049
514	102101	16851
515	102318	16656
516	102499	16455
517	102714	16259
518	102890	16058
519	103064	15856
520	103275	15659
521	103452	15458
522	103638	15258
523	103819	15057
524	103995	14856
525	104196	14658
526	104395	14460
527	104580	14260
528	104767	14061
529	104972	13864
530	105173	13666
531	105359	13466
532	105564	13269
533	105743	13069
534	105935	12870
535	106126	12671
536	106327	12474
537	106513	12274
538	106712	12076
539	106920	11880
540	107113	11681
541	107301	11482
542	107524	11287
543	107717	11088
544	107903	10889
545	108107	10691
546	108296	10493
547	108512	10296
548	108726	10100
549	108941	9903
550	109144	9706
551	109334	9507
552	109559	9311
553	109779	9115
554	109980	8917
555	110179	8719
556	110365	8520
557	110588	8323
558	110794	8126
559	110976	7926
560	111148	7726
561	111343	7528
562	111545	7330
563	111737	7132
564	111941	6934
565	112128	6735
566	112333	6537
567	112524	6339
568	112716	6140
569	112908	5942
570	113125	5745
571	113333	5547
572	113539	5350
573	113734	5151
574	113942	4954
575	114145	4756
576	114331	4557
577	114523	4359
578	114736	4161
579	114899	3962
580	115099	3764
581	115267	3564
582	115487	3367
583	115699	3169
584	115903	2971
585	116136	2774
586	116344	2576
587	116524	2378
588	116719	2179
589	116911	1981
590	117121	1783
591	117308	1585
592	117481	1386
593	117680	1188
594	117884	990
595	118082	792
596	118283	594
597	118468	396
598	118694	198
599	118901	0
