iter	RMSE
160	1.773204517
161	1.772773049
162	1.77213192
163	1.771264352
164	1.770920178
165	1.770329133
166	1.769537292
167	1.76925613
168	1.768733421
169	1.76850998
170	1.768084944
171	1.767566883
172	1.767135555
173	1.766839825
174	1.766527538
175	1.766302033
176	1.766091404
177	1.765837457
178	1.765169787
179	1.764829784
180	1.764369823
181	1.764087034
182	1.763798747
183	1.763326449
184	1.763011841
185	1.762555072
186	1.762198911
187	1.761971152
188	1.761605924
189	1.761204462
190	1.760958761
191	1.760580878
192	1.760283421
193	1.760038128
194	1.75973619
195	1.759303569
196	1.758988152
197	1.758606081
198	1.758369878
199	1.75813965
200	1.757808959
201	1.757601528
202	1.757195563
203	1.756794259
204	1.756646562
205	1.75617638
206	1.756020731
207	1.755679136
208	1.755228721
209	1.754982812
210	1.754808733
211	1.754477504
212	1.753935022
213	1.753546457
214	1.753128403
215	1.752879322
216	1.752601064
217	1.752095609
218	1.751864466
219	1.751631134
220	1.751413701
221	1.750873601
222	1.750463194
223	1.750158523
224	1.749491898
225	1.749133798
226	1.748895234
227	1.748741461
228	1.748476699
229	1.748241111
230	1.747769298
231	1.747451529
232	1.747155174
233	1.746892247
234	1.746732342
235	1.746517639
236	1.746314282
237	1.746103409
238	1.745718157
239	1.745447067
240	1.745101866
241	1.744663267
242	1.744525477
243	1.74439644
244	1.744243537
245	1.744072724
246	1.743878754
247	1.743642454
248	1.743328001
249	1.743160174
250	1.742967549
251	1.742707247
252	1.742413433
253	1.742292654
254	1.742036142
255	1.741682572
256	1.741463354
257	1.741263572
258	1.741059964
259	1.740849994
260	1.740675769
261	1.740520546
262	1.740146105
263	1.740002793
264	1.739780373
265	1.739671101
266	1.73947075
267	1.739293487
268	1.739182824
269	1.738909083
270	1.738725507
271	1.738467834
272	1.738362378
273	1.738127233
274	1.738026382
275	1.73781795
276	1.737581733
277	1.73740963
278	1.737071907
279	1.73690175
280	1.736715784
281	1.736580631
282	1.736446556
283	1.736066061
284	1.735894353
285	1.735785653
286	1.735522275
287	1.735038555
288	1.73482513
289	1.734635397
290	1.734361756
291	1.734163246
292	1.73399435
293	1.733897167
294	1.733775614
295	1.733642777
296	1.733496199
297	1.733313232
298	1.733124061
299	1.732917314
300	1.732809701
301	1.732561429
302	1.732328863
303	1.732243326
304	1.73211838
305	1.731927714
306	1.731751772
307	1.731610678
308	1.73137498
309	1.731204992
310	1.731020508
311	1.730920336
312	1.730705037
313	1.730523415
314	1.730282102
315	1.73017633
316	1.730023991
317	1.729940619
318	1.729777051
319	1.729603533
320	1.729516586
321	1.729345139
322	1.729195371
323	1.729029635
324	1.728858505
325	1.728574283
326	1.728370913
327	1.728284907
328	1.728013909
329	1.727898601
330	1.72783173
331	1.727762667
332	1.727606922
333	1.727458828
334	1.727325141
335	1.727181038
336	1.72695505
337	1.726820502
338	1.7266518
339	1.726481347
340	1.726371141
341	1.726240291
342	1.726060391
343	1.725883212
344	1.725778997
345	1.725596399
346	1.725474078
347	1.725310726
348	1.725141968
349	1.725025646
350	1.724756329
351	1.724609544
352	1.724533314
353	1.724317217
354	1.72400628
355	1.723883023
356	1.723776492
357	1.723652121
358	1.723565148
359	1.723439207
360	1.723262765
361	1.723070935
362	1.72299546
363	1.722678885
364	1.722551782
365	1.722494952
366	1.722254346
367	1.722127943
368	1.722024599
369	1.721860279
370	1.721719565
371	1.721617478
372	1.721419513
373	1.721322537
374	1.721138459
375	1.72098303
376	1.720877969
377	1.720786825
378	1.720699432
379	1.720467095
380	1.720237567
381	1.720142907
382	1.719997653
383	1.71988749
384	1.719828923
385	1.719614252
386	1.719413123
387	1.719319976
388	1.719223615
389	1.719077183
390	1.718959717
391	1.718858291
392	1.718757685
393	1.718588375
394	1.718422718
395	1.718257961
396	1.71811686
397	1.717977124
398	1.717820217
399	1.71766871
400	1.717502505
401	1.717411365
402	1.717265146
403	1.717138376
404	1.71700976
405	1.716945127
406	1.716770313
407	1.716668666
408	1.716508793
409	1.716450294
410	1.716288471
411	1.716191021
412	1.716100547
413	1.716042494
414	1.715947786
415	1.715830748
416	1.715779668
417	1.71556789
418	1.71546314
419	1.71535241
420	1.715232575
421	1.714970177
422	1.714888371
423	1.714768135
424	1.714686871
425	1.714632355
426	1.714544648
427	1.714407931
428	1.714295386
429	1.71418265
430	1.71404434
431	1.713984378
432	1.713893695
433	1.713786083
434	1.713684903
435	1.713626032
436	1.713531467
437	1.713434228
438	1.713288957
439	1.713207715
440	1.713038684
441	1.712991018
442	1.712822242
443	1.712749536
444	1.712652713
445	1.712585431
446	1.712455093
447	1.712381359
448	1.712272179
449	1.712193834
450	1.712076172
451	1.711969643
452	1.711895612
453	1.711795241
454	1.711700482
455	1.711585825
456	1.711462779
457	1.711318999
458	1.711088982
459	1.711003581
460	1.710859209
461	1.710791027
462	1.710657604
463	1.710590611
464	1.710519101
465	1.710465743
466	1.710402337
467	1.71032575
468	1.710208789
469	1.710096244
470	1.709979451
471	1.709824207
472	1.709683148
473	1.709617869
474	1.709565405
475	1.709530089
476	1.709423402
477	1.709318091
478	1.709233616
479	1.70903975
480	1.708894475
481	1.708800293
482	1.708715055
483	1.70865223
484	1.708599828
485	1.708541889
486	1.708385407
487	1.708324139
488	1.708247459
489	1.708195783
490	1.708098517
491	1.708003738
492	1.707951408
493	1.707824685
494	1.707717522
495	1.707683368
496	1.707583304
497	1.70751813
498	1.707469109
499	1.70738759
500	1.707252238
501	1.707086588
502	1.706991383
503	1.706839377
504	1.706702042
505	1.706644316
506	1.706550379
507	1.706491909
508	1.706242948
509	1.706135223
510	1.70608219
511	1.706002822
512	1.70589693
513	1.705800734
514	1.705631801
515	1.70549363
516	1.705380127
517	1.705308768
518	1.705172882
519	1.705129987
520	1.705024688
521	1.704935101
522	1.704891553
523	1.704806119
524	1.704648462
525	1.70457624
526	1.704461843
527	1.704363995
528	1.7042999
529	1.704225628
530	1.704189647
531	1.704157921
532	1.704072912
533	1.703954412
534	1.703850428
535	1.703770863
536	1.703691942
537	1.703623381
538	1.703572212
539	1.703453121
540	1.703370762
541	1.703244901
542	1.703125232
543	1.703037025
544	1.702903457
545	1.702819034
546	1.702751641
547	1.702655731
548	1.702597034
549	1.702529539
550	1.702415376
551	1.702355282
552	1.702300279
553	1.70219499
554	1.702117663
555	1.701992265
556	1.701932805
557	1.701867321
558	1.701787108
559	1.701751261
560	1.701696053
561	1.7016351
562	1.701543759
563	1.701474091
564	1.701410073
565	1.701371438
566	1.701324371
567	1.701213092
568	1.701126176
569	1.700958911
570	1.700912296
571	1.700853168
572	1.700817301
573	1.700704876
574	1.700635638
575	1.700539331
576	1.700477316
577	1.700352632
578	1.700297008
579	1.700240548
580	1.700199661
581	1.700148112
582	1.700084785
583	1.700013574
584	1.699957475
585	1.699848796
586	1.69978722
587	1.699741871
588	1.699684836
589	1.699624738
590	1.69955119
591	1.699439238
592	1.699375977
593	1.699312529
594	1.69919481
595	1.699145549
596	1.699059919
597	1.699011768
598	1.698935966
599	1.698851624
